tdays,Angledeg
  2480.0 ,  1284.84
  2490.0 ,  1291.57
  2500.0 ,  1298.36
  2510.0 ,  1305.22
  2520.0 ,  1312.15
  2530.0 ,  1319.16
  2540.0 ,  1326.24
  2550.0 ,  1333.39
  2560.0 ,  1340.61
  2570.0 ,  1347.90
  2580.0 ,  1355.26
  2590.0 ,  1362.68
  2600.0 ,  1370.16
  2610.0 ,  1377.69
  2620.0 ,  1385.26
  2630.0 ,  1392.88
  2640.0 ,  1400.52
  2650.0 ,  1408.18
  2660.0 ,  1415.85
  2670.0 ,  1423.52
  2680.0 ,  1431.17
  2690.0 ,  1438.79
  2700.0 ,  1446.36
  2710.0 ,  1453.86
  2720.0 ,  1461.29
  2730.0 ,  1468.62
  2740.0 ,  1475.82
  2750.0 ,  1482.90
  2760.0 ,  1489.81
  2770.0 ,  1496.54
  2780.0 ,  1503.06
  2790.0 ,  1509.33
  2800.0 ,  1515.30
  2810.0 ,  1520.94
  2820.0 ,  1526.17
  2830.0 ,  1530.90
  2840.0 ,  1535.03
  2850.0 ,  1538.41
  2860.0 ,  1540.88
  2870.0 ,  1542.24
  2880.0 ,  1542.28
  2890.0 ,  1540.91
  2900.0 ,  1538.18
  2910.0 ,  1534.51
  2920.0 ,  1530.61
  2930.0 ,  1527.26
  2940.0 ,  1525.02
  2950.0 ,  1524.12
  2960.0 ,  1524.49
  2970.0 ,  1525.99
  2980.0 ,  1528.40
  2990.0 ,  1531.54
  3000.0 ,  1535.25
  3010.0 ,  1539.42
  3020.0 ,  1543.94
  3030.0 ,  1548.75
  3040.0 ,  1553.80
  3050.0 ,  1559.03
  3060.0 ,  1564.43
  3070.0 ,  1569.96
  3080.0 ,  1575.62
  3090.0 ,  1581.38
  3100.0 ,  1587.24
  3110.0 ,  1593.19
  3120.0 ,  1599.22
  3130.0 ,  1605.34
  3140.0 ,  1611.55
  3150.0 ,  1617.84
  3160.0 ,  1624.21
  3170.0 ,  1630.67
  3180.0 ,  1637.21
  3190.0 ,  1643.84
  3200.0 ,  1650.55
  3210.0 ,  1657.36
  3220.0 ,  1664.26
  3230.0 ,  1671.25
  3240.0 ,  1678.33
  3250.0 ,  1685.50
  3260.0 ,  1692.76
  3270.0 ,  1700.10
  3280.0 ,  1707.53
  3290.0 ,  1715.03
  3300.0 ,  1722.61
  3310.0 ,  1730.25
  3320.0 ,  1737.95
  3330.0 ,  1745.69
  3340.0 ,  1753.47
  3350.0 ,  1761.28
  3360.0 ,  1769.11
  3370.0 ,  1776.94
  3380.0 ,  1784.76
  3390.0 ,  1792.56
  3400.0 ,  1800.33
  3410.0 ,  1808.05
  3420.0 ,  1815.72
  3430.0 ,  1823.31
  3440.0 ,  1830.83
  3450.0 ,  1838.26
  3460.0 ,  1845.59
  3470.0 ,  1852.81
  3480.0 ,  1859.92
  3490.0 ,  1866.90
  3500.0 ,  1873.74
  3510.0 ,  1880.44
  3520.0 ,  1886.98
  3530.0 ,  1893.34
  3540.0 ,  1899.51
  3550.0 ,  1905.46
  3560.0 ,  1911.16
  3570.0 ,  1916.57
  3580.0 ,  1921.65
  3590.0 ,  1926.32
  3600.0 ,  1930.50
  3610.0 ,  1934.08
  3620.0 ,  1936.91
  3630.0 ,  1938.83
  3640.0 ,  1939.65
  3650.0 ,  1939.19
  3660.0 ,  1937.38
  3670.0 ,  1934.34
  3680.0 ,  1930.52
  3690.0 ,  1926.61
  3700.0 ,  1923.33
  3710.0 ,  1921.18
  3720.0 ,  1920.33
  3730.0 ,  1920.72
  3740.0 ,  1922.20
  3750.0 ,  1924.57
  3760.0 ,  1927.66
  3770.0 ,  1931.32
  3780.0 ,  1935.45
  3790.0 ,  1939.97
  3800.0 ,  1944.79
  3810.0 ,  1949.87
  3820.0 ,  1955.19
  3830.0 ,  1960.69
  3840.0 ,  1966.37
  3850.0 ,  1972.21
  3860.0 ,  1978.19
  3870.0 ,  1984.31
  3880.0 ,  1990.56
  3890.0 ,  1996.93
  3900.0 ,  2003.42
  3910.0 ,  2010.04
  3920.0 ,  2016.78
  3930.0 ,  2023.62
  3940.0 ,  2030.59
  3950.0 ,  2037.66
  3960.0 ,  2044.84
  3970.0 ,  2052.13
  3980.0 ,  2059.52
  3990.0 ,  2067.00
  4000.0 ,  2074.57
  4010.0 ,  2082.21
  4020.0 ,  2089.93
  4030.0 ,  2097.71
  4040.0 ,  2105.53
  4050.0 ,  2113.40
  4060.0 ,  2121.28
  4070.0 ,  2129.18
  4080.0 ,  2137.08
  4090.0 ,  2144.96
  4100.0 ,  2152.81
  4110.0 ,  2160.63
  4120.0 ,  2168.39
  4130.0 ,  2176.09
  4140.0 ,  2183.73
  4150.0 ,  2191.29
  4160.0 ,  2198.76
  4170.0 ,  2206.15
  4180.0 ,  2213.44
  4190.0 ,  2220.63
  4200.0 ,  2227.73
  4210.0 ,  2234.73
  4220.0 ,  2241.61
  4230.0 ,  2248.40
  4240.0 ,  2255.07
  4250.0 ,  2261.63
  4260.0 ,  2268.07
  4270.0 ,  2274.38
  4280.0 ,  2280.56
  4290.0 ,  2286.60
  4300.0 ,  2292.47
  4310.0 ,  2298.16
  4320.0 ,  2303.64
  4330.0 ,  2308.88
  4340.0 ,  2313.83
  4350.0 ,  2318.44
  4360.0 ,  2322.62
  4370.0 ,  2326.29
  4380.0 ,  2329.32
  4390.0 ,  2331.56
  4400.0 ,  2332.83
  4410.0 ,  2332.96
  4420.0 ,  2331.81
  4430.0 ,  2329.38
  4440.0 ,  2325.92
  4450.0 ,  2322.01
  4460.0 ,  2318.36
  4470.0 ,  2315.57
  4480.0 ,  2314.01
  4490.0 ,  2313.74
  4500.0 ,  2314.65
  4510.0 ,  2316.59
  4520.0 ,  2319.35
  4530.0 ,  2322.80
  4540.0 ,  2326.81
  4550.0 ,  2331.28
  4560.0 ,  2336.13
  4570.0 ,  2341.31
  4580.0 ,  2346.77
  4590.0 ,  2352.48
  4600.0 ,  2358.42
  4610.0 ,  2364.55
  4620.0 ,  2370.87
  4630.0 ,  2377.37
  4640.0 ,  2384.03
  4650.0 ,  2390.84
  4660.0 ,  2397.80
  4670.0 ,  2404.89
  4680.0 ,  2412.12
  4690.0 ,  2419.46
  4700.0 ,  2426.92
  4710.0 ,  2434.48
  4720.0 ,  2442.12
  4730.0 ,  2449.85
  4740.0 ,  2457.64
  4750.0 ,  2465.48
  4760.0 ,  2473.35
  4770.0 ,  2481.25
  4780.0 ,  2489.16
  4790.0 ,  2497.05
  4800.0 ,  2504.93
  4810.0 ,  2512.78
  4820.0 ,  2520.58
  4830.0 ,  2528.32
  4840.0 ,  2536.00
  4850.0 ,  2543.61
  4860.0 ,  2551.14
  4870.0 ,  2558.58
  4880.0 ,  2565.95
  4890.0 ,  2573.22
  4900.0 ,  2580.40
  4910.0 ,  2587.50
  4920.0 ,  2594.51
  4930.0 ,  2601.43
  4940.0 ,  2608.27
  4950.0 ,  2615.02
  4960.0 ,  2621.69
  4970.0 ,  2628.29
  4980.0 ,  2634.79
  4990.0 ,  2641.23
  5000.0 ,  2647.58
  5010.0 ,  2653.84
  5020.0 ,  2660.02
  5030.0 ,  2666.11
  5040.0 ,  2672.10
  5050.0 ,  2677.98
  5060.0 ,  2683.74
  5070.0 ,  2689.35
  5080.0 ,  2694.80
  5090.0 ,  2700.05
  5100.0 ,  2705.08
  5110.0 ,  2709.82
  5120.0 ,  2714.22
  5130.0 ,  2718.19
  5140.0 ,  2721.65
  5150.0 ,  2724.44
  5160.0 ,  2726.43
  5170.0 ,  2727.43
  5180.0 ,  2727.27
  5190.0 ,  2725.84
  5200.0 ,  2723.19
  5210.0 ,  2719.66
  5220.0 ,  2715.86
  5230.0 ,  2712.50
  5240.0 ,  2710.14
  5250.0 ,  2709.08
  5260.0 ,  2709.32
  5270.0 ,  2710.75
  5280.0 ,  2713.19
  5290.0 ,  2716.45
  5300.0 ,  2720.42
  5310.0 ,  2724.95
  5320.0 ,  2729.95
  5330.0 ,  2735.37
  5340.0 ,  2741.12
  5350.0 ,  2747.18
  5360.0 ,  2753.51
  5370.0 ,  2760.07
  5380.0 ,  2766.84
  5390.0 ,  2773.81
  5400.0 ,  2780.94
  5410.0 ,  2788.22
  5420.0 ,  2795.63
  5430.0 ,  2803.16
  5440.0 ,  2810.78
  5450.0 ,  2818.47
  5460.0 ,  2826.23
  5470.0 ,  2834.03
  5480.0 ,  2841.85
  5490.0 ,  2849.68
  5500.0 ,  2857.50
  5510.0 ,  2865.30
  5520.0 ,  2873.06
  5530.0 ,  2880.77
  5540.0 ,  2888.43
  5550.0 ,  2896.02
  5560.0 ,  2903.54
  5570.0 ,  2910.98
  5580.0 ,  2918.34
  5590.0 ,  2925.62
  5600.0 ,  2932.82
  5610.0 ,  2939.93
  5620.0 ,  2946.96
  5630.0 ,  2953.92
  5640.0 ,  2960.79
  5650.0 ,  2967.60
  5660.0 ,  2974.34
  5670.0 ,  2981.01
  5680.0 ,  2987.62
  5690.0 ,  2994.17
  5700.0 ,  3000.67
  5710.0 ,  3007.12
  5720.0 ,  3013.51
  5730.0 ,  3019.87
  5740.0 ,  3026.18
  5750.0 ,  3032.44
  5760.0 ,  3038.66
  5770.0 ,  3044.84
  5780.0 ,  3050.97
  5790.0 ,  3057.04
  5800.0 ,  3063.05
  5810.0 ,  3069.00
  5820.0 ,  3074.87
  5830.0 ,  3080.65
  5840.0 ,  3086.32
  5850.0 ,  3091.86
  5860.0 ,  3097.24
  5870.0 ,  3102.44
  5880.0 ,  3107.41
  5890.0 ,  3112.09
  5900.0 ,  3116.43
  5910.0 ,  3120.33
  5920.0 ,  3123.67
  5930.0 ,  3126.33
  5940.0 ,  3128.13
  5950.0 ,  3128.89
  5960.0 ,  3128.46
  5970.0 ,  3126.77
  5980.0 ,  3123.97
  5990.0 ,  3120.56
  6000.0 ,  3117.20
  6010.0 ,  3114.61
  6020.0 ,  3113.24
  6030.0 ,  3113.25
  6040.0 ,  3114.58
  6050.0 ,  3117.06
  6060.0 ,  3120.51
  6070.0 ,  3124.76
  6080.0 ,  3129.66
  6090.0 ,  3135.10
  6100.0 ,  3140.98
  6110.0 ,  3147.23
  6120.0 ,  3153.77
  6130.0 ,  3160.58
  6140.0 ,  3167.58
  6150.0 ,  3174.75
  6160.0 ,  3182.05
  6170.0 ,  3189.45
  6180.0 ,  3196.92
  6190.0 ,  3204.44
  6200.0 ,  3211.98
  6210.0 ,  3219.54
  6220.0 ,  3227.08
  6230.0 ,  3234.60
  6240.0 ,  3242.07
  6250.0 ,  3249.51
  6260.0 ,  3256.88
  6270.0 ,  3264.19
  6280.0 ,  3271.44
  6290.0 ,  3278.61
  6300.0 ,  3285.72
  6310.0 ,  3292.75
  6320.0 ,  3299.71
  6330.0 ,  3306.60
  6340.0 ,  3313.43
  6350.0 ,  3320.19
  6360.0 ,  3326.90
  6370.0 ,  3333.55
  6380.0 ,  3340.14
  6390.0 ,  3346.70
  6400.0 ,  3353.21
  6410.0 ,  3359.68
  6420.0 ,  3366.12
  6430.0 ,  3372.54
  6440.0 ,  3378.93
  6450.0 ,  3385.30
  6460.0 ,  3391.66
  6470.0 ,  3398.01
  6480.0 ,  3404.34
  6490.0 ,  3410.67
  6500.0 ,  3416.99
  6510.0 ,  3423.31
  6520.0 ,  3429.62
