tdays,Angledeg
  2530.0 ,   145.07
  2540.0 ,   145.00
  2550.0 ,   144.74
  2560.0 ,   144.31
  2570.0 ,   143.74
  2580.0 ,   143.04
  2590.0 ,   142.27
  2600.0 ,   141.46
  2610.0 ,   140.66
  2620.0 ,   139.91
  2630.0 ,   139.27
  2640.0 ,   138.75
  2650.0 ,   138.38
  2660.0 ,   138.19
  2670.0 ,   138.17
  2680.0 ,   138.34
  2690.0 ,   138.67
  2700.0 ,   139.17
  2710.0 ,   139.83
  2720.0 ,   140.61
  2730.0 ,   141.52
  2740.0 ,   142.53
  2750.0 ,   143.63
  2760.0 ,   144.80
  2770.0 ,   146.01
  2780.0 ,   147.27
  2790.0 ,   148.54
  2800.0 ,   149.81
  2810.0 ,   151.06
  2820.0 ,   152.27
  2830.0 ,   153.44
  2840.0 ,   154.52
  2850.0 ,   155.52
  2860.0 ,   156.40
  2870.0 ,   157.16
  2880.0 ,   157.77
  2890.0 ,   158.21
  2900.0 ,   158.48
  2910.0 ,   158.56
  2920.0 ,   158.46
  2930.0 ,   158.18
  2940.0 ,   157.73
  2950.0 ,   157.14
  2960.0 ,   156.44
  2970.0 ,   155.67
  2980.0 ,   154.86
  2990.0 ,   154.08
  3000.0 ,   153.35
  3010.0 ,   152.72
  3020.0 ,   152.22
  3030.0 ,   151.88
  3040.0 ,   151.70
  3050.0 ,   151.70
  3060.0 ,   151.88
  3070.0 ,   152.22
  3080.0 ,   152.73
  3090.0 ,   153.38
  3100.0 ,   154.17
  3110.0 ,   155.07
  3120.0 ,   156.08
  3130.0 ,   157.17
  3140.0 ,   158.33
  3150.0 ,   159.54
  3160.0 ,   160.78
  3170.0 ,   162.04
  3180.0 ,   163.29
  3190.0 ,   164.53
  3200.0 ,   165.73
  3210.0 ,   166.87
  3220.0 ,   167.94
  3230.0 ,   168.91
  3240.0 ,   169.76
  3250.0 ,   170.49
  3260.0 ,   171.06
  3270.0 ,   171.47
  3280.0 ,   171.70
  3290.0 ,   171.75
  3300.0 ,   171.62
  3310.0 ,   171.31
  3320.0 ,   170.84
  3330.0 ,   170.24
  3340.0 ,   169.53
  3350.0 ,   168.76
  3360.0 ,   167.96
  3370.0 ,   167.19
  3380.0 ,   166.48
  3390.0 ,   165.88
  3400.0 ,   165.40
  3410.0 ,   165.08
  3420.0 ,   164.92
  3430.0 ,   164.94
  3440.0 ,   165.13
  3450.0 ,   165.49
  3460.0 ,   166.00
  3470.0 ,   166.66
  3480.0 ,   167.45
  3490.0 ,   168.35
  3500.0 ,   169.36
  3510.0 ,   170.44
  3520.0 ,   171.59
  3530.0 ,   172.80
  3540.0 ,   174.03
  3550.0 ,   175.27
  3560.0 ,   176.51
  3570.0 ,   177.73
  3580.0 ,   178.91
  3590.0 ,   180.03
  3600.0 ,   181.07
  3610.0 ,   182.01
  3620.0 ,   182.83
  3630.0 ,   183.52
  3640.0 ,   184.05
  3650.0 ,   184.42
  3660.0 ,   184.61
  3670.0 ,   184.62
  3680.0 ,   184.45
  3690.0 ,   184.11
  3700.0 ,   183.62
  3710.0 ,   183.00
  3720.0 ,   182.29
  3730.0 ,   181.51
  3740.0 ,   180.73
  3750.0 ,   179.98
  3760.0 ,   179.29
  3770.0 ,   178.71
  3780.0 ,   178.26
  3790.0 ,   177.97
  3800.0 ,   177.84
  3810.0 ,   177.88
  3820.0 ,   178.08
  3830.0 ,   178.46
  3840.0 ,   178.98
  3850.0 ,   179.65
  3860.0 ,   180.44
  3870.0 ,   181.35
  3880.0 ,   182.36
  3890.0 ,   183.44
  3900.0 ,   184.59
  3910.0 ,   185.78
  3920.0 ,   187.00
  3930.0 ,   188.23
  3940.0 ,   189.46
  3950.0 ,   190.66
  3960.0 ,   191.81
  3970.0 ,   192.91
  3980.0 ,   193.91
  3990.0 ,   194.82
  4000.0 ,   195.60
  4010.0 ,   196.25
  4020.0 ,   196.74
  4030.0 ,   197.06
  4040.0 ,   197.21
  4050.0 ,   197.17
  4060.0 ,   196.96
  4070.0 ,   196.59
  4080.0 ,   196.07
  4090.0 ,   195.44
  4100.0 ,   194.72
  4110.0 ,   193.95
  4120.0 ,   193.18
  4130.0 ,   192.44
  4140.0 ,   191.78
  4150.0 ,   191.23
  4160.0 ,   190.81
  4170.0 ,   190.55
  4180.0 ,   190.44
  4190.0 ,   190.51
  4200.0 ,   190.74
  4210.0 ,   191.13
  4220.0 ,   191.67
  4230.0 ,   192.35
  4240.0 ,   193.16
  4250.0 ,   194.07
  4260.0 ,   195.08
  4270.0 ,   196.17
  4280.0 ,   197.31
  4290.0 ,   198.50
  4300.0 ,   199.71
  4310.0 ,   200.93
  4320.0 ,   202.14
  4330.0 ,   203.32
  4340.0 ,   204.45
  4350.0 ,   205.51
  4360.0 ,   206.48
  4370.0 ,   207.35
  4380.0 ,   208.09
  4390.0 ,   208.68
  4400.0 ,   209.13
  4410.0 ,   209.40
  4420.0 ,   209.50
  4430.0 ,   209.42
