tdays,Angledeg
  2420.0 ,  2476.18
  2430.0 ,  2488.66
  2440.0 ,  2501.09
  2450.0 ,  2513.46
  2460.0 ,  2525.76
  2470.0 ,  2537.97
  2480.0 ,  2550.08
  2490.0 ,  2562.08
  2500.0 ,  2573.94
  2510.0 ,  2585.62
  2520.0 ,  2597.10
  2530.0 ,  2608.32
  2540.0 ,  2619.19
  2550.0 ,  2629.64
  2560.0 ,  2639.51
  2570.0 ,  2648.61
  2580.0 ,  2656.65
  2590.0 ,  2663.16
  2600.0 ,  2667.43
  2610.0 ,  2668.57
  2620.0 ,  2665.86
  2630.0 ,  2660.14
  2640.0 ,  2654.54
  2650.0 ,  2652.09
  2660.0 ,  2653.56
  2670.0 ,  2658.19
  2680.0 ,  2665.05
  2690.0 ,  2673.45
  2700.0 ,  2682.92
  2710.0 ,  2693.15
  2720.0 ,  2703.94
  2730.0 ,  2715.15
  2740.0 ,  2726.69
  2750.0 ,  2738.48
  2760.0 ,  2750.46
  2770.0 ,  2762.57
  2780.0 ,  2774.79
  2790.0 ,  2787.08
  2800.0 ,  2799.41
  2810.0 ,  2811.76
  2820.0 ,  2824.13
  2830.0 ,  2836.50
  2840.0 ,  2848.87
  2850.0 ,  2861.25
  2860.0 ,  2873.61
  2870.0 ,  2885.97
  2880.0 ,  2898.32
  2890.0 ,  2910.65
  2900.0 ,  2922.97
  2910.0 ,  2935.27
  2920.0 ,  2947.57
  2930.0 ,  2959.86
  2940.0 ,  2972.15
  2950.0 ,  2984.43
  2960.0 ,  2996.72
  2970.0 ,  3009.02
  2980.0 ,  3021.31
  2990.0 ,  3033.59
  3000.0 ,  3045.86
  3010.0 ,  3058.12
  3020.0 ,  3070.35
  3030.0 ,  3082.56
  3040.0 ,  3094.75
  3050.0 ,  3106.91
  3060.0 ,  3119.04
  3070.0 ,  3131.13
  3080.0 ,  3143.16
  3090.0 ,  3155.11
  3100.0 ,  3166.94
  3110.0 ,  3178.61
  3120.0 ,  3190.07
  3130.0 ,  3201.22
  3140.0 ,  3211.98
  3150.0 ,  3222.17
  3160.0 ,  3231.55
  3170.0 ,  3239.79
  3180.0 ,  3246.29
  3190.0 ,  3250.24
  3200.0 ,  3250.63
  3210.0 ,  3246.94
  3220.0 ,  3240.79
  3230.0 ,  3235.86
  3240.0 ,  3234.65
  3250.0 ,  3237.21
  3260.0 ,  3242.57
  3270.0 ,  3249.82
  3280.0 ,  3258.37
  3290.0 ,  3267.79
  3300.0 ,  3277.84
  3310.0 ,  3288.36
  3320.0 ,  3299.22
  3330.0 ,  3310.36
  3340.0 ,  3321.72
  3350.0 ,  3333.27
  3360.0 ,  3344.97
  3370.0 ,  3356.81
  3380.0 ,  3368.77
  3390.0 ,  3380.84
  3400.0 ,  3393.02
  3410.0 ,  3405.29
  3420.0 ,  3417.65
  3430.0 ,  3430.07
  3440.0 ,  3442.56
  3450.0 ,  3455.08
  3460.0 ,  3467.64
  3470.0 ,  3480.21
  3480.0 ,  3492.79
  3490.0 ,  3505.37
  3500.0 ,  3517.96
  3510.0 ,  3530.54
  3520.0 ,  3543.12
  3530.0 ,  3555.68
  3540.0 ,  3568.23
  3550.0 ,  3580.75
  3560.0 ,  3593.23
  3570.0 ,  3605.68
  3580.0 ,  3618.08
  3590.0 ,  3630.42
  3600.0 ,  3642.71
  3610.0 ,  3654.93
  3620.0 ,  3667.09
  3630.0 ,  3679.18
  3640.0 ,  3691.18
  3650.0 ,  3703.08
  3660.0 ,  3714.86
  3670.0 ,  3726.50
  3680.0 ,  3737.96
  3690.0 ,  3749.22
  3700.0 ,  3760.23
  3710.0 ,  3770.93
  3720.0 ,  3781.21
  3730.0 ,  3790.96
  3740.0 ,  3799.94
  3750.0 ,  3807.81
  3760.0 ,  3814.06
  3770.0 ,  3817.90
  3780.0 ,  3818.34
  3790.0 ,  3814.91
  3800.0 ,  3809.00
  3810.0 ,  3804.15
  3820.0 ,  3802.93
  3830.0 ,  3805.53
  3840.0 ,  3811.06
  3850.0 ,  3818.62
  3860.0 ,  3827.56
  3870.0 ,  3837.45
  3880.0 ,  3848.01
  3890.0 ,  3859.04
  3900.0 ,  3870.40
  3910.0 ,  3881.99
  3920.0 ,  3893.75
  3930.0 ,  3905.62
  3940.0 ,  3917.58
  3950.0 ,  3929.58
  3960.0 ,  3941.64
  3970.0 ,  3953.73
  3980.0 ,  3965.84
  3990.0 ,  3977.98
  4000.0 ,  3990.13
  4010.0 ,  4002.30
  4020.0 ,  4014.48
  4030.0 ,  4026.68
  4040.0 ,  4038.89
  4050.0 ,  4051.13
  4060.0 ,  4063.39
  4070.0 ,  4075.67
  4080.0 ,  4087.99
  4090.0 ,  4100.34
  4100.0 ,  4112.71
  4110.0 ,  4125.10
  4120.0 ,  4137.51
  4130.0 ,  4149.93
  4140.0 ,  4162.35
  4150.0 ,  4174.77
  4160.0 ,  4187.19
  4170.0 ,  4199.62
  4180.0 ,  4212.04
  4190.0 ,  4224.45
  4200.0 ,  4236.84
  4210.0 ,  4249.22
  4220.0 ,  4261.55
  4230.0 ,  4273.83
  4240.0 ,  4286.03
  4250.0 ,  4298.11
  4260.0 ,  4310.07
  4270.0 ,  4321.86
  4280.0 ,  4333.42
  4290.0 ,  4344.70
  4300.0 ,  4355.60
  4310.0 ,  4366.00
  4320.0 ,  4375.72
  4330.0 ,  4384.47
  4340.0 ,  4391.83
  4350.0 ,  4397.19
  4360.0 ,  4399.67
  4370.0 ,  4398.41
  4380.0 ,  4393.55
  4390.0 ,  4387.48
  4400.0 ,  4383.64
  4410.0 ,  4383.60
  4420.0 ,  4386.98
  4430.0 ,  4392.86
  4440.0 ,  4400.49
  4450.0 ,  4409.30
  4460.0 ,  4418.97
  4470.0 ,  4429.26
  4480.0 ,  4440.01
  4490.0 ,  4451.13
  4500.0 ,  4462.55
  4510.0 ,  4474.19
  4520.0 ,  4486.05
  4530.0 ,  4498.07
  4540.0 ,  4510.23
  4550.0 ,  4522.51
  4560.0 ,  4534.88
  4570.0 ,  4547.31
  4580.0 ,  4559.80
  4590.0 ,  4572.32
  4600.0 ,  4584.84
  4610.0 ,  4597.38
  4620.0 ,  4609.92
  4630.0 ,  4622.45
  4640.0 ,  4634.98
  4650.0 ,  4647.50
  4660.0 ,  4659.99
  4670.0 ,  4672.47
  4680.0 ,  4684.93
  4690.0 ,  4697.35
  4700.0 ,  4709.75
  4710.0 ,  4722.11
  4720.0 ,  4734.43
  4730.0 ,  4746.73
  4740.0 ,  4758.99
  4750.0 ,  4771.23
  4760.0 ,  4783.43
  4770.0 ,  4795.60
  4780.0 ,  4807.73
  4790.0 ,  4819.80
  4800.0 ,  4831.81
  4810.0 ,  4843.76
  4820.0 ,  4855.62
  4830.0 ,  4867.40
  4840.0 ,  4879.08
  4850.0 ,  4890.64
  4860.0 ,  4902.04
  4870.0 ,  4913.25
  4880.0 ,  4924.19
  4890.0 ,  4934.77
  4900.0 ,  4944.81
  4910.0 ,  4954.12
  4920.0 ,  4962.33
  4930.0 ,  4968.90
  4940.0 ,  4973.08
  4950.0 ,  4973.84
  4960.0 ,  4970.60
  4970.0 ,  4964.77
  4980.0 ,  4959.86
  4990.0 ,  4958.59
  5000.0 ,  4961.20
  5010.0 ,  4966.72
  5020.0 ,  4974.25
  5030.0 ,  4983.10
  5040.0 ,  4992.83
  5050.0 ,  5003.17
  5060.0 ,  5013.92
  5070.0 ,  5024.97
  5080.0 ,  5036.25
  5090.0 ,  5047.69
  5100.0 ,  5059.27
  5110.0 ,  5070.95
  5120.0 ,  5082.74
  5130.0 ,  5094.59
  5140.0 ,  5106.52
  5150.0 ,  5118.52
  5160.0 ,  5130.56
  5170.0 ,  5142.68
  5180.0 ,  5154.85
  5190.0 ,  5167.07
  5200.0 ,  5179.36
  5210.0 ,  5191.71
  5220.0 ,  5204.10
  5230.0 ,  5216.54
  5240.0 ,  5229.02
  5250.0 ,  5241.52
  5260.0 ,  5254.04
  5270.0 ,  5266.58
  5280.0 ,  5279.12
  5290.0 ,  5291.66
  5300.0 ,  5304.21
  5310.0 ,  5316.76
  5320.0 ,  5329.30
  5330.0 ,  5341.84
  5340.0 ,  5354.34
  5350.0 ,  5366.82
  5360.0 ,  5379.26
  5370.0 ,  5391.63
  5380.0 ,  5403.93
  5390.0 ,  5416.15
  5400.0 ,  5428.26
  5410.0 ,  5440.26
  5420.0 ,  5452.12
  5430.0 ,  5463.81
  5440.0 ,  5475.29
  5450.0 ,  5486.50
  5460.0 ,  5497.37
  5470.0 ,  5507.80
  5480.0 ,  5517.66
  5490.0 ,  5526.73
  5500.0 ,  5534.73
  5510.0 ,  5541.17
  5520.0 ,  5545.35
  5530.0 ,  5546.36
  5540.0 ,  5543.52
  5550.0 ,  5537.74
  5560.0 ,  5532.21
  5570.0 ,  5529.89
  5580.0 ,  5531.47
  5590.0 ,  5536.18
  5600.0 ,  5543.09
  5610.0 ,  5551.52
  5620.0 ,  5561.01
  5630.0 ,  5571.25
  5640.0 ,  5582.05
  5650.0 ,  5593.27
  5660.0 ,  5604.81
  5670.0 ,  5616.60
  5680.0 ,  5628.58
  5690.0 ,  5640.70
  5700.0 ,  5652.93
  5710.0 ,  5665.22
  5720.0 ,  5677.55
  5730.0 ,  5689.91
  5740.0 ,  5702.29
  5750.0 ,  5714.67
  5760.0 ,  5727.05
  5770.0 ,  5739.43
  5780.0 ,  5751.80
  5790.0 ,  5764.17
  5800.0 ,  5776.52
  5810.0 ,  5788.86
  5820.0 ,  5801.18
  5830.0 ,  5813.49
  5840.0 ,  5825.79
  5850.0 ,  5838.08
  5860.0 ,  5850.37
  5870.0 ,  5862.65
  5880.0 ,  5874.94
  5890.0 ,  5887.23
  5900.0 ,  5899.52
  5910.0 ,  5911.80
  5920.0 ,  5924.07
  5930.0 ,  5936.32
  5940.0 ,  5948.54
  5950.0 ,  5960.75
  5960.0 ,  5972.93
  5970.0 ,  5985.08
  5980.0 ,  5997.20
  5990.0 ,  6009.28
  6000.0 ,  6021.29
  6010.0 ,  6033.23
  6020.0 ,  6045.05
  6030.0 ,  6056.71
  6040.0 ,  6068.16
  6050.0 ,  6079.30
  6060.0 ,  6090.03
  6070.0 ,  6100.20
  6080.0 ,  6109.55
  6090.0 ,  6117.73
  6100.0 ,  6124.17
  6110.0 ,  6128.02
  6120.0 ,  6128.26
  6130.0 ,  6124.45
  6140.0 ,  6118.26
  6150.0 ,  6113.46
  6160.0 ,  6112.40
  6170.0 ,  6115.09
  6180.0 ,  6120.56
  6190.0 ,  6127.88
  6200.0 ,  6136.48
  6210.0 ,  6145.94
  6220.0 ,  6156.01
  6230.0 ,  6166.54
  6240.0 ,  6177.42
  6250.0 ,  6188.56
  6260.0 ,  6199.93
  6270.0 ,  6211.48
  6280.0 ,  6223.18
  6290.0 ,  6235.01
  6300.0 ,  6246.97
  6310.0 ,  6259.04
  6320.0 ,  6271.21
  6330.0 ,  6283.48
  6340.0 ,  6295.83
  6350.0 ,  6308.25
  6360.0 ,  6320.73
  6370.0 ,  6333.25
  6380.0 ,  6345.80
  6390.0 ,  6358.37
  6400.0 ,  6370.95
  6410.0 ,  6383.53
  6420.0 ,  6396.12
  6430.0 ,  6408.70
  6440.0 ,  6421.28
  6450.0 ,  6433.85
  6460.0 ,  6446.40
  6470.0 ,  6458.92
  6480.0 ,  6471.41
  6490.0 ,  6483.86
  6500.0 ,  6496.27
  6510.0 ,  6508.62
  6520.0 ,  6520.91
  6530.0 ,  6533.14
  6540.0 ,  6545.30
  6550.0 ,  6557.39
  6560.0 ,  6569.39
  6570.0 ,  6581.29
  6580.0 ,  6593.07
  6590.0 ,  6604.70
  6600.0 ,  6616.16
  6610.0 ,  6627.41
  6620.0 ,  6638.41
  6630.0 ,  6649.08
  6640.0 ,  6659.34
  6650.0 ,  6669.05
  6660.0 ,  6677.98
  6670.0 ,  6685.79
  6680.0 ,  6691.94
  6690.0 ,  6695.64
  6700.0 ,  6695.90
  6710.0 ,  6692.30
  6720.0 ,  6686.36
  6730.0 ,  6681.61
  6740.0 ,  6680.58
  6750.0 ,  6683.31
  6760.0 ,  6688.94
  6770.0 ,  6696.57
  6780.0 ,  6705.55
  6790.0 ,  6715.48
  6800.0 ,  6726.06
  6810.0 ,  6737.11
  6820.0 ,  6748.49
  6830.0 ,  6760.10
  6840.0 ,  6771.87
  6850.0 ,  6783.76
  6860.0 ,  6795.73
  6870.0 ,  6807.75
  6880.0 ,  6819.81
  6890.0 ,  6831.91
  6900.0 ,  6844.03
  6910.0 ,  6856.18
  6920.0 ,  6868.34
  6930.0 ,  6880.52
  6940.0 ,  6892.70
  6950.0 ,  6904.91
  6960.0 ,  6917.12
  6970.0 ,  6929.36
  6980.0 ,  6941.61
  6990.0 ,  6953.90
  7000.0 ,  6966.21
  7010.0 ,  6978.55
  7020.0 ,  6990.92
  7030.0 ,  7003.30
  7040.0 ,  7015.71
  7050.0 ,  7028.12
  7060.0 ,  7040.53
  7070.0 ,  7052.95
  7080.0 ,  7065.37
  7090.0 ,  7077.78
  7100.0 ,  7090.20
  7110.0 ,  7102.60
  7120.0 ,  7114.99
  7130.0 ,  7127.37
  7140.0 ,  7139.69
  7150.0 ,  7151.97
  7160.0 ,  7164.16
  7170.0 ,  7176.25
  7180.0 ,  7188.20
  7190.0 ,  7199.99
  7200.0 ,  7211.55
  7210.0 ,  7222.82
  7220.0 ,  7233.73
  7230.0 ,  7244.12
  7240.0 ,  7253.82
  7250.0 ,  7262.55
  7260.0 ,  7269.87
  7270.0 ,  7275.16
  7280.0 ,  7277.55
  7290.0 ,  7276.16
  7300.0 ,  7271.21
  7310.0 ,  7265.16
  7320.0 ,  7261.43
  7330.0 ,  7261.52
  7340.0 ,  7265.00
  7350.0 ,  7270.95
  7360.0 ,  7278.61
  7370.0 ,  7287.45
  7380.0 ,  7297.14
  7390.0 ,  7307.44
  7400.0 ,  7318.20
  7410.0 ,  7329.31
  7420.0 ,  7340.73
  7430.0 ,  7352.37
  7440.0 ,  7364.21
  7450.0 ,  7376.23
  7460.0 ,  7388.39
  7470.0 ,  7400.66
  7480.0 ,  7413.03
  7490.0 ,  7425.46
  7500.0 ,  7437.95
  7510.0 ,  7450.47
  7520.0 ,  7463.00
  7530.0 ,  7475.54
  7540.0 ,  7488.08
  7550.0 ,  7500.62
  7560.0 ,  7513.15
  7570.0 ,  7525.67
  7580.0 ,  7538.17
  7590.0 ,  7550.66
  7600.0 ,  7563.12
  7610.0 ,  7575.55
  7620.0 ,  7587.95
  7630.0 ,  7600.31
  7640.0 ,  7612.64
  7650.0 ,  7624.94
  7660.0 ,  7637.21
  7670.0 ,  7649.44
  7680.0 ,  7661.65
  7690.0 ,  7673.82
  7700.0 ,  7685.94
  7710.0 ,  7698.01
  7720.0 ,  7710.02
  7730.0 ,  7721.96
  7740.0 ,  7733.82
  7750.0 ,  7745.59
  7760.0 ,  7757.26
  7770.0 ,  7768.80
  7780.0 ,  7780.19
  7790.0 ,  7791.37
  7800.0 ,  7802.28
  7810.0 ,  7812.82
  7820.0 ,  7822.83
  7830.0 ,  7832.08
  7840.0 ,  7840.21
  7850.0 ,  7846.68
  7860.0 ,  7850.70
  7870.0 ,  7851.27
  7880.0 ,  7847.86
  7890.0 ,  7841.99
  7900.0 ,  7837.23
  7910.0 ,  7836.16
  7920.0 ,  7838.93
  7930.0 ,  7844.58
  7940.0 ,  7852.19
  7950.0 ,  7861.11
  7960.0 ,  7870.88
  7970.0 ,  7881.25
  7980.0 ,  7892.04
  7990.0 ,  7903.11
  8000.0 ,  7914.40
  8010.0 ,  7925.87
  8020.0 ,  7937.45
  8030.0 ,  7949.15
  8040.0 ,  7960.94
  8050.0 ,  7972.81
  8060.0 ,  7984.74
  8070.0 ,  7996.74
  8080.0 ,  8008.79
  8090.0 ,  8020.90
  8100.0 ,  8033.06
  8110.0 ,  8045.29
  8120.0 ,  8057.57
  8130.0 ,  8069.91
  8140.0 ,  8082.30
  8150.0 ,  8094.74
  8160.0 ,  8107.21
  8170.0 ,  8119.71
  8180.0 ,  8132.22
  8190.0 ,  8144.75
  8200.0 ,  8157.29
  8210.0 ,  8169.83
